stock1,stock2,corr,pvalue,beta,half_life,vol,zscore,score,capital
1928.T,6326.T,0.956,0.0004,0.336,2.02,0.0129,-3.41,948.14,621700
1928.T,3407.T,0.957,0.0002,0.344,2.82,0.0139,-2.0,828.83,504150
1928.T,3402.T,0.951,0.0049,0.435,2.65,0.0142,-1.92,813.44,461950
1928.T,6302.T,0.944,0.0052,0.311,2.58,0.0154,-2.26,771.01,868300
8306.T,8411.T,0.984,0.0178,0.675,3.74,0.0147,0.77,736.6,964000
1928.T,6471.T,0.946,0.0273,0.266,3.25,0.0163,-2.27,732.92,465750
1925.T,7211.T,0.853,0.0045,0.297,3.17,0.0157,-0.51,685.1,521389
1928.T,5332.T,0.922,0.0444,0.258,3.93,0.0175,-1.9,672.36,888900
1928.T,8001.T,0.938,0.0403,0.605,3.95,0.0165,-0.51,652.51,545300
1928.T,5201.T,0.928,0.0296,0.46,3.64,0.0171,-0.68,638.8,911100
8001.T,8015.T,0.955,0.0114,0.485,2.95,0.0201,-2.57,630.41,837100
1928.T,6723.T,0.901,0.0184,0.256,3.34,0.0202,-2.26,611.44,620050
6503.T,8015.T,0.983,0.0013,0.867,2.13,0.0222,3.01,605.55,1224500
1928.T,6305.T,0.907,0.0101,0.32,3.61,0.0198,-1.42,587.1,910800
1928.T,6586.T,0.898,0.0257,0.406,4.49,0.0206,-1.78,581.12,901000
2897.T,4188.T,0.923,0.0002,0.512,2.12,0.0208,0.45,531.52,400309
3407.T,8830.T,0.98,0.0049,0.881,2.62,0.0246,-2.05,519.0,640950
1928.T,2897.T,0.876,0.0111,0.74,4.17,0.0221,-0.99,515.8,650300
4502.T,5711.T,0.973,0.0128,0.502,2.97,0.0246,-1.99,515.17,1129200
2897.T,8331.T,0.914,0.0076,0.316,2.99,0.0227,-1.12,514.1,525950
2897.T,3402.T,0.923,0.0006,0.5,2.27,0.0208,-0.06,514.07,418650
2871.T,9531.T,0.898,0.0308,0.358,3.71,0.0215,-0.49,511.47,892900
5020.T,8002.T,0.988,0.0027,0.897,2.54,0.0231,-1.06,507.34,744800
2897.T,8411.T,0.909,0.0059,0.381,2.83,0.023,-0.74,492.49,982500
3407.T,6471.T,0.985,0.0044,0.775,3.0,0.024,-1.13,491.77,276300
2871.T,6326.T,0.865,0.0431,0.317,4.13,0.0246,-1.24,480.33,467100
9531.T,9532.T,0.979,0.0122,0.899,3.44,0.0249,-1.25,479.63,1322700
2897.T,8053.T,0.911,0.0311,0.397,3.72,0.023,-0.37,476.8,910400
2897.T,8306.T,0.892,0.0067,0.549,2.98,0.0243,-0.9,474.54,588500
2503.T,7762.T,0.925,0.0163,0.341,3.42,0.0236,-0.59,474.25,439600
2897.T,6723.T,0.896,0.004,0.301,3.01,0.0247,-0.96,471.75,576750
9104.T,9107.T,0.985,0.0028,1.526,2.56,0.0245,-0.78,471.39,909600
3407.T,8015.T,0.978,0.0408,0.89,3.83,0.0263,-1.51,468.37,795950
2503.T,9531.T,0.907,0.0011,0.493,3.51,0.0267,1.59,465.57,960800
9005.T,9531.T,0.834,0.0028,0.298,5.62,0.024,0.59,463.02,887800
2897.T,5201.T,0.89,0.0154,0.523,3.32,0.0246,0.68,460.79,867800
2871.T,5201.T,0.878,0.034,0.458,3.87,0.0232,-0.04,458.51,756500
4523.T,9502.T,0.834,0.0055,0.524,4.7,0.0289,-1.89,445.08,768450
5021.T,8725.T,0.959,0.0453,0.945,3.31,0.0274,-1.26,443.14,840300
3092.T,9064.T,0.923,0.0035,0.69,2.59,0.0279,-1.35,442.8,296150
4502.T,5020.T,0.977,0.011,0.772,3.07,0.0259,-0.64,441.66,703400
6971.T,8830.T,0.968,0.0438,0.658,3.89,0.0259,0.61,436.96,741850
2897.T,8233.T,0.882,0.0081,0.441,3.39,0.0254,-0.39,435.04,503100
4901.T,9064.T,0.891,0.0095,0.532,4.75,0.0258,0.48,431.05,497000
2503.T,9532.T,0.906,0.0002,0.45,3.85,0.0276,0.96,426.43,882100
5021.T,8316.T,0.945,0.0192,0.769,3.31,0.0291,-1.27,422.75,989600
2897.T,8316.T,0.885,0.0468,0.398,3.99,0.0263,-0.39,421.15,857400
5020.T,8334.T,0.982,0.0008,1.187,2.4,0.0291,-1.14,420.69,366950
2897.T,3407.T,0.882,0.0357,0.377,3.89,0.0255,-0.01,418.71,460850
2897.T,6302.T,0.873,0.0178,0.341,3.33,0.0264,-0.31,417.07,825000
6503.T,8830.T,0.968,0.0279,0.84,3.52,0.0318,1.84,415.87,1069500
3402.T,5201.T,0.959,0.0407,1.036,3.73,0.0295,1.22,414.65,679450
8001.T,8725.T,0.912,0.0428,0.658,5.01,0.0296,-1.29,413.71,603100
2897.T,7203.T,0.846,0.0439,0.661,3.9,0.0289,0.97,409.3,636100
2503.T,5333.T,0.914,0.0017,0.348,4.08,0.0271,-0.29,405.92,705000
4502.T,8334.T,0.964,0.0151,0.922,3.29,0.0316,-1.37,399.15,784350
2897.T,6326.T,0.848,0.0382,0.353,4.12,0.0284,-0.56,399.06,578400
1812.T,8316.T,0.953,0.0272,0.88,3.6,0.0331,-1.73,398.85,1168800
6471.T,8015.T,0.982,0.0008,1.133,2.3,0.029,-0.47,395.9,757550
2503.T,6471.T,0.891,0.006,0.362,5.06,0.0292,0.72,394.88,379050
6503.T,8354.T,0.962,0.0011,0.773,3.57,0.0316,1.18,391.07,1240800
2503.T,8802.T,0.899,0.0129,0.402,5.03,0.0287,0.44,390.27,728300
2871.T,4005.T,0.788,0.0348,0.456,4.46,0.0299,-0.83,390.2,244209
2503.T,8015.T,0.894,0.0036,0.418,4.19,0.0291,0.52,389.02,898700
2871.T,9503.T,0.812,0.0476,0.734,4.03,0.0281,-0.13,384.42,446050
1928.T,9021.T,0.727,0.0403,0.988,7.74,0.0316,1.09,378.69,650200
6503.T,8002.T,0.961,0.0486,0.692,4.0,0.0317,0.86,376.37,1187700
3407.T,6326.T,0.964,0.007,0.936,3.33,0.0336,-1.23,375.17,432250
4502.T,8002.T,0.961,0.0056,0.69,5.49,0.0331,-1.05,368.76,1162200
8015.T,8830.T,0.977,0.0033,0.963,2.91,0.0306,-0.27,367.31,1122200
4188.T,6723.T,0.931,0.024,0.566,3.43,0.0366,-1.65,366.3,370059
1802.T,8015.T,0.974,0.0194,1.062,3.44,0.0349,-1.27,365.98,1014600
1802.T,8830.T,0.973,0.015,1.046,4.05,0.0363,-1.56,364.86,859600
2897.T,6586.T,0.836,0.0174,0.445,4.3,0.0305,-0.33,364.67,857700
2897.T,4005.T,0.83,0.0175,0.538,4.02,0.0308,-0.38,364.5,355509
